name,longitude,latitude,stateProvince,year,month,day,eventDate,individualCount
Asclepias subverticillata (Gray) Vail,-100.95389,22.14306,San luis potosi,1961,8,22,1961-08-22,1
Asclepias subverticillata (Gray) Vail,-100.845556,22.133056,San luis potosi,1959,7,8,1959-07-08,1
Asclepias subverticillata (Gray) Vail,-100.811667,22.121111,San luis potosi,1955,6,12,1955-06-12,1
Asclepias subverticillata (Gray) Vail,-100.95389,22.14306,San luis potosi,1955,6,12,1955-06-12,1
Asclepias subverticillata (Gray) Vail,-104,40.8,Colorado,1955,7,22,1955-07-22,1
Asclepias subverticillata (Gray) Vail,-105.987689,31.890802,Texas,1955,7,1,1955-07-01,1
Asclepias subverticillata (Gray) Vail,-105.987689,31.890802,Texas,1955,7,1,1955-07-01,1
Asclepias subverticillata (Gray) Vail,-105.987689,31.890802,Texas,1955,7,1,1955-07-01,1
Asclepias subverticillata (Gray) Vail,-101.017,25.367,Coahuila de zaragoza,1942,7,NA,1942-07-01,1
Asclepias subverticillata (Gray) Vail,-101.37,26.34,Coahuila de zaragoza,1941,6,15,1941-06-15,1
Asclepias subverticillata (Gray) Vail,-103.483,27.95833,Coahuila de zaragoza,1941,6,15,1941-06-15,1
Asclepias subverticillata (Gray) Vail,-101.37,26.34,Coahuila de zaragoza,1941,8,28,1941-08-28,1
Asclepias subverticillata (Gray) Vail,-108.67583,30.635,Chihuahua,1939,8,26,1939-08-26,1
Asclepias subverticillata (Gray) Vail,-106.81617137552905,30.53514069762519,Chihuahua,1935,10,10,1935-10-10,1
Asclepias subverticillata (Gray) Vail,-106.705715,32.092943,New Mexico,1930,8,14,1930-08-14,1
Asclepias subverticillata (Gray) Vail,-106.442986,31.805415,Texas,1922,7,1,1922-07-01,1
Asclepias subverticillata (Gray) Vail,-105.820667,32.489333,New Mexico,1900,1,1,1900-01-01,1
Asclepias subverticillata (Gray) Vail,-104.65528,24.02444,Durango,1896,4,NA,1896-04-01,1
Asclepias subverticillata (Gray) Vail,-110.15,34.9,Arizona,1896,8,17,1896-08-17,1
Asclepias subverticillata (Gray) Vail,-110.15,34.9,Arizona,1896,8,17,1896-08-17,1
Asclepias subverticillata (Gray) Vail,-106.47833,31.735,Chihuahua,1888,5,30,1888-05-30,1
Asclepias subverticillata (Gray) Vail,-111.65,35.1833,Arizona,1884,8,12,1884-08-12,1
Asclepias subverticillata (Gray) Vail,-101.01667,22.18333,San luis potosi,1876,NA,NA,1876-01-01,1
Asclepias subverticillata (Gray) Vail,-112.4527,34.5547,Arizona,1865,8,22,1865-08-22,1
Asclepias subverticillata (Gray) Vail,-102.183333,25.45,Coahuila,1847,5,16,1847-05-16,1
Asclepias subverticillata (Gray) Vail,-101.017,25.367,Coahuila de zaragoza,NA,NA,NA,NA,1
